Spp,Label,Order,Zoonoses
Carpitalpa_arendsi,0,Afrosoricida,
Chlorotalpa_duthieae,0,Afrosoricida,
Chlorotalpa_sclateri,0,Afrosoricida,
Cryptochloris_wintoni,0,Afrosoricida,
Cryptochloris_zyli,0,Afrosoricida,
Amblysomus_corriae,0,Afrosoricida,
Amblysomus_hottentotus,0,Afrosoricida,
Amblysomus_marleyi,0,Afrosoricida,
Amblysomus_robustus,0,Afrosoricida,
Amblysomus_septentrionalis,0,Afrosoricida,
Calcochloris_leucorhinus,0,Afrosoricida,
Calcochloris_obtusirostris,0,Afrosoricida,
Calcochloris_tytonis,0,Afrosoricida,
Chrysochloris_asiatica,0,Afrosoricida,
Chrysochloris_stuhlmanni,0,Afrosoricida,
Chrysochloris_visagiei,0,Afrosoricida,
Chrysospalax_trevelyani,0,Afrosoricida,
Chrysospalax_villosus,0,Afrosoricida,
Echinops_telfairi,0,Afrosoricida,
Eremitalpa_granti,0,Afrosoricida,
Geogale_aurita,0,Afrosoricida,
Hemicentetes_nigriceps,0,Afrosoricida,
Hemicentetes_semispinosus,0,Afrosoricida,
Limnogale_mergulus,0,Afrosoricida,
Microgale_brevicaudata,0,Afrosoricida,
Microgale_cowani,0,Afrosoricida,
Microgale_dobsoni,0,Afrosoricida,
Microgale_drouhardi,0,Afrosoricida,
Microgale_dryas,0,Afrosoricida,
Microgale_fotsifotsy,0,Afrosoricida,
Microgale_gracilis,0,Afrosoricida,
Microgale_gymnorhyncha,0,Afrosoricida,
Microgale_longicaudata,0,Afrosoricida,
Microgale_monticola,0,Afrosoricida,
Microgale_nasoloi,0,Afrosoricida,
Microgale_parvula,0,Afrosoricida,
Microgale_principula,0,Afrosoricida,
Microgale_pusilla,0,Afrosoricida,
Microgale_soricoides,0,Afrosoricida,
Microgale_taiva,0,Afrosoricida,
Microgale_talazaci,0,Afrosoricida,
Microgale_thomasi,0,Afrosoricida,
Micropotamogale_lamottei,0,Afrosoricida,
Micropotamogale_ruwenzorii,0,Afrosoricida,
Neamblysomus_gunningi,0,Afrosoricida,
Neamblysomus_julianae,0,Afrosoricida,
Oryzorictes_hova,0,Afrosoricida,
Oryzorictes_tetradactylus,0,Afrosoricida,
Potamogale_velox,0,Afrosoricida,
Setifer_setosus,0,Afrosoricida,
Tenrec_ecaudatus,1,Afrosoricida,Plague
Beatragus_hunteri,0,Artiodactyla,
Bos_javanicus,0,Artiodactyla,
Capra_sibirica,0,Artiodactyla,
Gazella_gazella,0,Artiodactyla,
Ovis_canadensis,0,Artiodactyla,
Pelea_capreolus,0,Artiodactyla,
Philantomba_maxwellii,0,Artiodactyla,
